Fit #1
gc8 Pars,Fit Value,Error
pB (%),10.000,10.000
dwB (ppm),0.88,0.05
kexAB (s^-1),4701,441
R1 (s^-1),3.11,0.20
R2 (s^-1),18.21,0.74
Red. Chi-sq,2.37
