Fit #1
gc8 Pars,Fit Value,Error
pB (%),0.400,0.400
dwB (ppm),3.04,0.05
kexAB (s^-1),957,27
R1 (s^-1),1.43,0.05
R2 (s^-1),27.46,0.09
Red. Chi-sq,0.15
