Fit #1
gc1p Pars,Fit Value,Error
pB (%),0.600,0.600
dwB (ppm),3.59,0.07
kexAB (s^-1),598,14
R1 (s^-1),1.14,0.06
R2 (s^-1),18.24,0.09
Red. Chi-sq,0.19
