Fit #1
gc8 Pars,Fit Value,Error
pB (%),0.600,0.600
dwB (ppm),3.05,0.05
kexAB (s^-1),598,14
R1 (s^-1),1.29,0.06
R2 (s^-1),27.56,0.09
Red. Chi-sq,0.19
