Fit #1
gc8 Pars,Fit Value,Error
pB (%),10.000,10.000
dwB (ppm),2.29,0.01
kexAB (s^-1),36,2
R1 (s^-1),1.07,0.18
R2 (s^-1),31.45,0.19
Red. Chi-sq,0.46
