Fit #1
G_C1p_Off Pars,Fit Value,Error
pB (%),0.900,0.900
dwB (ppm),0.77,0.09
kexAB (s^-1),3697,699
R1 (s^-1),2.27,0.04
R2 (s^-1),13.96,0.11
Red. Chi-sq,0.38
