Fit #1
G_C8_Off Pars,Fit Value,Error
pB (%),0.900,0.900
dwB (ppm),0.72,0.09
kexAB (s^-1),3697,699
R1 (s^-1),2.56,0.04
R2 (s^-1),20.18,0.13
Red. Chi-sq,0.38
