Fit #1
gc1p Pars,Fit Value,Error
pB (%),0.600,0.600
dwB (ppm),2.07,0.09
kexAB (s^-1),3160,272
R1 (s^-1),1.97,0.13
R2 (s^-1),16.92,0.30
Red. Chi-sq,0.85
