Date : 9/18/2019	Time : 20:31:30	
C:\UVWINLAB\DNA41U1.SP	
15.00	0.6601
15.20	0.6600
15.40	0.6600
15.60	0.6601
15.80	0.6600
16.00	0.6599
16.20	0.6601
16.40	0.6603
16.60	0.6602
16.80	0.6601
17.00	0.6602
17.20	0.6601
17.40	0.6603
17.60	0.6604
17.80	0.6601
18.00	0.6602
18.20	0.6603
18.40	0.6606
18.60	0.6603
18.80	0.6604
19.00	0.6606
19.20	0.6604
19.40	0.6605
19.60	0.6606
19.80	0.6607
20.00	0.6607
20.20	0.6606
20.40	0.6605
20.60	0.6606
20.80	0.6606
21.00	0.6608
21.20	0.6607
21.40	0.6607
21.60	0.6607
21.80	0.6608
22.00	0.6609
22.20	0.6607
22.40	0.6610
22.60	0.6610
22.80	0.6610
23.00	0.6611
23.20	0.6611
23.40	0.6613
23.60	0.6611
23.80	0.6612
24.00	0.6613
24.20	0.6610
24.40	0.6613
24.60	0.6614
24.80	0.6614
25.00	0.6614
25.20	0.6615
25.40	0.6617
25.60	0.6617
25.80	0.6617
26.00	0.6617
26.20	0.6619
26.40	0.6619
26.60	0.6620
26.80	0.6621
27.00	0.6621
27.20	0.6622
27.40	0.6621
27.60	0.6621
27.80	0.6621
28.00	0.6625
28.20	0.6623
28.40	0.6626
28.60	0.6625
28.80	0.6627
29.00	0.6626
29.20	0.6628
29.40	0.6630
29.60	0.6630
29.80	0.6630
30.00	0.6630
30.20	0.6632
30.40	0.6634
30.60	0.6633
30.80	0.6636
31.00	0.6636
31.20	0.6638
31.40	0.6637
31.60	0.6641
31.80	0.6640
32.00	0.6642
32.20	0.6642
32.50	0.6645
32.70	0.6646
33.00	0.6648
33.20	0.6649
33.50	0.6651
33.70	0.6654
34.00	0.6659
34.20	0.6658
34.50	0.6661
34.70	0.6661
35.00	0.6664
35.20	0.6667
35.50	0.6668
35.70	0.6671
36.00	0.6674
36.20	0.6676
36.50	0.6678
36.70	0.6681
37.00	0.6685
37.20	0.6685
37.50	0.6690
37.70	0.6693
38.00	0.6695
38.20	0.6700
38.50	0.6699
38.70	0.6703
39.00	0.6708
39.20	0.6710
39.50	0.6712
39.70	0.6714
40.00	0.6717
40.20	0.6719
40.50	0.6725
40.70	0.6725
41.00	0.6731
41.20	0.6735
41.50	0.6739
41.70	0.6742
42.00	0.6746
42.20	0.6747
42.50	0.6749
42.70	0.6749
43.00	0.6756
43.20	0.6758
43.50	0.6765
43.70	0.6770
44.00	0.6775
44.20	0.6780
44.50	0.6783
44.70	0.6783
45.00	0.6791
45.20	0.6798
45.50	0.6803
45.70	0.6807
46.00	0.6812
46.20	0.6815
46.50	0.6822
46.70	0.6822
47.00	0.6831
47.20	0.6837
47.50	0.6844
47.70	0.6848
48.00	0.6848
48.20	0.6849
48.50	0.6858
48.70	0.6859
49.00	0.6871
49.20	0.6881
49.50	0.6887
49.70	0.6893
50.00	0.6899
50.20	0.6905
50.50	0.6915
50.70	0.6915
51.00	0.6930
51.20	0.6934
51.50	0.6944
51.70	0.6951
52.00	0.6960
52.20	0.6965
52.50	0.6975
52.70	0.6975
53.00	0.6990
53.20	0.6994
53.50	0.7007
53.70	0.7013
54.00	0.7026
54.20	0.7031
54.50	0.7043
54.70	0.7043
55.00	0.7059
55.20	0.7064
55.50	0.7078
55.70	0.7084
56.00	0.7096
56.20	0.7104
56.50	0.7115
56.70	0.7115
57.00	0.7136
57.20	0.7142
57.50	0.7153
57.70	0.7164
58.00	0.7174
58.20	0.7181
58.50	0.7192
58.70	0.7192
59.00	0.7209
59.20	0.7218
59.50	0.7227
59.70	0.7237
60.00	0.7246
60.20	0.7255
60.50	0.7263
60.70	0.7263
61.00	0.7283
61.20	0.7288
61.50	0.7303
61.70	0.7308
62.00	0.7316
62.20	0.7323
62.50	0.7333
62.70	0.7333
63.00	0.7349
63.20	0.7355
63.50	0.7363
63.70	0.7368
64.00	0.7379
64.20	0.7385
64.40	0.7389
64.70	0.7397
64.90	0.7403
65.20	0.7408
65.40	0.7415
65.70	0.7422
65.90	0.7425
66.20	0.7431
66.40	0.7436
66.70	0.7444
66.90	0.7447
67.20	0.7453
67.40	0.7457
67.70	0.7464
67.90	0.7464
68.20	0.7471
68.40	0.7475
68.70	0.7478
68.90	0.7483
69.20	0.7488
69.40	0.7492
69.70	0.7495
69.90	0.7495
70.20	0.7501
70.40	0.7505
70.70	0.7510
70.90	0.7511
71.20	0.7517
71.40	0.7517
71.70	0.7522
71.90	0.7522
72.20	0.7527
72.40	0.7531
72.70	0.7534
72.90	0.7535
73.20	0.7539
73.40	0.7540
73.70	0.7544
73.90	0.7544
74.20	0.7550
74.40	0.7550
74.70	0.7553
74.90	0.7554
75.20	0.7558
75.40	0.7561
75.70	0.7563
75.90	0.7563
76.20	0.7568
76.40	0.7569
76.70	0.7571
76.90	0.7572
77.20	0.7576
77.40	0.7576
77.70	0.7577
77.90	0.7577
78.20	0.7582
78.40	0.7584
78.70	0.7586
78.90	0.7587
79.20	0.7589
79.40	0.7594
79.70	0.7595
79.90	0.7595
80.20	0.7598
80.40	0.7599
80.70	0.7600
80.90	0.7604
81.20	0.7605
81.40	0.7608
81.70	0.7608
81.90	0.7608
82.20	0.7612
82.40	0.7614
82.70	0.7616
82.90	0.7616
83.20	0.7619
83.40	0.7620
83.70	0.7622
83.90	0.7622
84.20	0.7624
84.40	0.7626
84.70	0.7629
84.90	0.7630
85.20	0.7631
85.40	0.7633
85.70	0.7637
85.90	0.7637
86.20	0.7637
86.40	0.7638
86.70	0.7640
86.90	0.7641
87.20	0.7641
87.40	0.7644
87.70	0.7643
87.90	0.7643
88.20	0.7646
88.50	0.7648
88.70	0.7648
88.90	0.7652
89.20	0.7653
89.40	0.7653
89.70	0.7657
89.90	0.7657
90.20	0.7659
90.40	0.7659
90.70	0.7660
90.90	0.7661
91.20	0.7662
91.40	0.7662
91.70	0.7667
91.90	0.7667
92.20	0.7668
92.40	0.7668
92.70	0.7670
92.90	0.7670
93.20	0.7673
93.40	0.7673
93.70	0.7675
93.90	0.7675
94.20	0.7676
94.40	0.7678
94.70	0.7680
94.90	0.7678
95.20	0.7681
95.40	0.7681
95.70	0.7683
95.90	0.7683
96.20	0.7684
96.40	0.7685
96.70	0.7687
96.90	0.7687
97.20	0.7688
97.40	0.7689
