Fit #1
gc1p Pars,Fit Value,Error
pB (%),3.000,3.000
dwB (ppm),1.41,0.11
kexAB (s^-1),4769,580
R1 (s^-1),3.54,0.13
R2 (s^-1),10.68,0.75
Red. Chi-sq,5.50
