Fit #1
gc8 Pars,Fit Value,Error
pB (%),3.000,3.000
dwB (ppm),1.34,0.11
kexAB (s^-1),4769,580
R1 (s^-1),4.08,0.11
R2 (s^-1),17.27,0.73
Red. Chi-sq,5.50
