Fit #1
hpGBCm6A_m6AC2_55C Pars,Fit Value,Error
pB (%),1.000,1.000
dwB (ppm),2.65,0.02
kexAB (s^-1),681,8
R1 (s^-1),4.51,0.03
R2 (s^-1),13.59,0.04
Red. Chi-sq,0.34
