filename,mds,bds,mss,bss,delH,Tm(K),Tm(C),delS,delG_25C,delG_37C,Ct,redchi2,aic,bic,mode
20210114_atul_melting_probe1_gat_m1a.txt,0.0002701229622281294,0.6118980476598592,0.0013123795975641353,0.6484786219103769,-53.448450614976935,320.5628852309822,47.40288523098218,-0.14008610518549566,-11.680377492869546,-9.999344230643594,3.0,0.04249696408087789,-1644.2266259471742,-1628.9655217527456,duplex
avg,0.0002701229622281294,0.6118980476598592,0.0013123795975641353,0.6484786219103769,-53.448450614976935,320.5628852309822,47.40288523098218,-0.14008610518549566,-11.680377492869546,-9.999344230643594,3.0,0.04249696408087789,-1644.2266259471742,-1628.9655217527456,duplex
std,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
