Fit #1
G_C1p_Off_clean Pars,Fit Value,Error
pB (%),10.000,10.000
dwB (ppm),4.12,4.12
kexAB (s^-1),10,2
R1 (s^-1),2.08,0.26
R2 (s^-1),11.18,0.33
Red. Chi-sq,7.98
