Fit #1
gc1p Pars,Fit Value,Error
pB (%),0.300,0.300
dwB (ppm),4.15,0.19
kexAB (s^-1),2877,408
R1 (s^-1),1.14,0.17
R2 (s^-1),21.35,0.38
Red. Chi-sq,0.51
