Fit #1
gc1p Pars,Fit Value,Error
pB (%),2.500,2.500
dwB (ppm),1.89,0.06
kexAB (s^-1),3650,236
R1 (s^-1),3.22,0.19
R2 (s^-1),12.02,0.59
Red. Chi-sq,1.38
