Fit #1
gc8 Pars,Fit Value,Error
pB (%),2.500,2.500
dwB (ppm),1.62,0.06
kexAB (s^-1),3650,236
R1 (s^-1),2.90,0.16
R2 (s^-1),18.70,0.45
Red. Chi-sq,1.38
