Fit #1
A16_C8_Off Pars,Fit Value,Error
pB (%),5.000,5.000
dwB (ppm),0.50,0.05
kexAB (s^-1),4153,689
R1 (s^-1),2.25,0.05
R2 (s^-1),21.96,0.22
Red. Chi-sq,0.24
