Fit #1
A16_C8_Off Pars,Fit Value,Error
pB (%),0.250,0.250
dwB (ppm),4.11,0.20
kexAB (s^-1),3248,504
R1 (s^-1),2.76,0.11
R2 (s^-1),24.33,0.32
Red. Chi-sq,0.56
