Fit #1
A21_C1p_Off Pars,Fit Value,Error
pB (%),8.000,8.000
dwB (ppm),1.70,0.09
kexAB (s^-1),31,5
R1 (s^-1),1.84,0.08
R2 (s^-1),14.67,0.10
Red. Chi-sq,0.35
