Fit #1
G10_C8_Off Pars,Fit Value,Error
pB (%),0.200,0.200
dwB (ppm),6.53,3.78
kexAB (s^-1),4526,10039
R1 (s^-1),3.42,2.08
R2 (s^-1),52.24,7.13
Red. Chi-sq,14.55
