Fit #1
ac1p Pars,Fit Value,Error
pB (%),0.050,0.050
dwB (ppm),6.29,1.55
kexAB (s^-1),3849,2967
R1 (s^-1),2.24,0.18
R2 (s^-1),22.48,0.51
Red. Chi-sq,1.36
