Date : 12/18/2017	Time : 05:00:59	
C:\UVWINLAB\DNA21U1.SP	
20.00	0.6373
20.50	0.6372
21.00	0.6373
21.50	0.6378
22.00	0.6376
22.50	0.6382
23.00	0.6385
23.50	0.6388
24.00	0.6388
24.50	0.6392
25.00	0.6394
25.50	0.6394
26.00	0.6394
26.50	0.6401
27.00	0.6405
27.50	0.6407
28.00	0.6410
28.50	0.6414
29.00	0.6416
29.50	0.6420
30.00	0.6422
30.50	0.6426
31.00	0.6428
31.50	0.6431
32.00	0.6437
32.50	0.6443
33.00	0.6445
33.50	0.6449
34.00	0.6451
34.50	0.6456
35.00	0.6459
35.50	0.6468
36.00	0.6467
36.50	0.6476
37.00	0.6479
37.50	0.6485
38.00	0.6492
38.50	0.6496
39.00	0.6500
39.50	0.6505
40.00	0.6511
40.50	0.6515
41.00	0.6521
41.50	0.6530
42.00	0.6537
42.50	0.6545
43.00	0.6549
43.50	0.6563
44.00	0.6568
44.50	0.6578
45.00	0.6588
45.50	0.6596
46.00	0.6607
46.50	0.6622
47.00	0.6634
47.50	0.6646
48.00	0.6667
48.50	0.6678
49.00	0.6697
49.50	0.6721
50.00	0.6741
50.50	0.6758
51.00	0.6789
51.50	0.6819
52.00	0.6849
52.50	0.6878
53.00	0.6917
53.50	0.6952
54.00	0.6998
54.50	0.7035
55.00	0.7072
55.50	0.7122
56.00	0.7174
56.50	0.7214
57.00	0.7268
57.50	0.7313
58.00	0.7354
58.50	0.7398
59.00	0.7441
59.50	0.7474
60.00	0.7513
60.50	0.7544
61.00	0.7571
61.50	0.7594
62.00	0.7622
62.50	0.7640
63.00	0.7656
63.50	0.7671
64.00	0.7685
64.50	0.7698
65.00	0.7703
65.50	0.7712
66.00	0.7722
66.50	0.7726
67.00	0.7738
67.50	0.7741
68.00	0.7744
68.50	0.7755
69.00	0.7757
69.50	0.7766
70.00	0.7766
70.50	0.7775
71.00	0.7778
71.50	0.7777
72.00	0.7782
72.50	0.7786
73.00	0.7791
73.50	0.7792
74.00	0.7797
74.50	0.7802
75.00	0.7801
75.50	0.7809
76.00	0.7813
76.50	0.7819
77.00	0.7818
77.50	0.7826
78.00	0.7826
78.50	0.7831
79.00	0.7835
79.50	0.7843
80.00	0.7841
80.50	0.7843
81.00	0.7847
81.50	0.7847
82.00	0.7852
82.50	0.7855
83.00	0.7860
83.50	0.7860
84.00	0.7861
84.50	0.7869
85.00	0.7869
85.50	0.7874
86.00	0.7876
86.50	0.7873
87.00	0.7880
87.50	0.7883
88.00	0.7885
88.50	0.7888
89.00	0.7891
89.50	0.7898
