Fit #1
ac1p Pars,Fit Value,Error
pB (%),3.500,3.500
dwB (ppm),2.53,0.02
kexAB (s^-1),2533,68
R1 (s^-1),2.17,0.19
R2 (s^-1),16.59,0.38
Red. Chi-sq,0.30
