Fit #1
A21_C1p_Off Pars,Fit Value,Error
pB (%),8.000,8.000
dwB (ppm),0.41,0.06
kexAB (s^-1),4107,1166
R1 (s^-1),2.54,0.07
R2 (s^-1),13.11,0.34
Red. Chi-sq,0.53
