Fit #1
A16_C8_Off Pars,Fit Value,Error
pB (%),5.000,5.000
dwB (ppm),0.95,0.14
kexAB (s^-1),55,21
R1 (s^-1),2.16,0.06
R2 (s^-1),22.90,0.08
Red. Chi-sq,0.28
