Fit #1
G_C8_Off Pars,Fit Value,Error
pB (%),10.000,10.000
dwB (ppm),4.16,0.00
kexAB (s^-1),10,1
R1 (s^-1),2.47,0.10
R2 (s^-1),19.40,0.14
Red. Chi-sq,2.10
