Fit #1
G_C1p_Off Pars,Fit Value,Error
pB (%),0.030,0.030
dwB (ppm),4.12,4.12
kexAB (s^-1),2679,1091
R1 (s^-1),2.23,0.04
R2 (s^-1),14.30,0.08
Red. Chi-sq,0.34
