Fit #1
hpGBCm6A_m6AC2_55C Pars,Fit Value,Error
pB (%),1.100,1.100
dwB (ppm),2.64,0.02
kexAB (s^-1),601,5
R1 (s^-1),4.48,0.02
R2 (s^-1),13.66,0.03
Red. Chi-sq,0.25
