Fit #1
ac8 Pars,Fit Value,Error
pB (%),10.000,10.000
dwB (ppm),1.34,0.05
kexAB (s^-1),3743,215
R1 (s^-1),4.04,0.45
R2 (s^-1),21.72,1.18
Red. Chi-sq,1.43
