param,fitval,fiterror
pB,0.00203,0.00002
pC,0.00000,0.00000
dwB,3.93405,0.02229
dwC,-0.00000,0.00000
kexAB,490.23202,12.18884
kexAC,-0.00000,0.00000
kexBC,0.00000,0.00000
R1,2.26581,0.00292
R2,12.43444,0.07429
rchi2,13.63166,0.0
