Fit #1
gc1p Pars,Fit Value,Error
pB (%),0.750,0.750
dwB (ppm),1.71,0.07
kexAB (s^-1),3323,288
R1 (s^-1),2.24,0.08
R2 (s^-1),15.72,0.20
Red. Chi-sq,0.27
