Fit #1
hpGBCm6A_m6AC2_55C Pars,Fit Value,Error
pB (%),1.300,1.300
dwB (ppm),2.62,0.02
kexAB (s^-1),484,4
R1 (s^-1),4.44,0.02
R2 (s^-1),13.76,0.03
Red. Chi-sq,0.24
