Fit #1
G_C8_Off_clean Pars,Fit Value,Error
pB (%),0.750,0.750
dwB (ppm),4.27,4.27
kexAB (s^-1),26282,1219
R1 (s^-1),2.72,0.04
R2 (s^-1),12.66,0.19
Red. Chi-sq,0.28
