Fit #1
ra16_c8_15c Pars,Fit Value,Error
pB (%),0.284,0.054
dwB (ppm),3.03,0.34
kexAB (s^-1),5001,515
R1 (s^-1),1.83,0.04
R2 (s^-1),33.63,0.20
Red. Chi-sq,0.54
