param,fitval,fiterror
pB,0.03000,0.00000
pC,-0.00000,0.00000
dwB,2.76104,0.00836
dwC,0.00000,0.00000
kexAB,22.73874,10.40765
kexAC,-0.00000,0.00000
kexBC,0.00000,0.00000
R1,3.18618,0.07717
R2,19.25332,0.15879
rchi2,36.19933,0.0
