Fit #1
A6RNAm6A_C2_37 Pars,Fit Value,Error
pB (%),1.200,1.200
dwB (ppm),1.84,0.08
kexAB (s^-1),99,6
R1 (s^-1),4.55,0.03
R2 (s^-1),21.02,0.03
Red. Chi-sq,0.37
