Fit #1
c15_c6 Pars,Fit Value,Error
pB (%),0.900,0.900
dwB (ppm),1.92,0.12
kexAB (s^-1),5002,525
R1 (s^-1),1.93,0.06
R2 (s^-1),29.55,0.36
Red. Chi-sq,0.43
