Fit #1
c15_c6 Pars,Fit Value,Error
pB (%),8.000,8.000
dwB (ppm),0.97,0.04
kexAB (s^-1),34,9
R1 (s^-1),1.94,0.09
R2 (s^-1),33.60,0.22
Red. Chi-sq,1.30
