Fit #1
A6RNAm6A_C2_37 Pars,Fit Value,Error
pB (%),1.200,1.200
dwB (ppm),0.60,0.03
kexAB (s^-1),1149,318
R1 (s^-1),4.73,0.05
R2 (s^-1),20.89,0.09
Red. Chi-sq,1.45
