Fit #1
hpGBCm6A_m6A_C2_65C Pars,Fit Value,Error
pB (%),5.000,5.000
dwB (ppm),2.46,0.06
kexAB (s^-1),222,7
R1 (s^-1),4.58,0.18
R2 (s^-1),13.73,0.20
Red. Chi-sq,8.36
