Fit #1
hpGBCm6A_m6A_C2_65C Pars,Fit Value,Error
pB (%),10.000,10.000
dwB (ppm),2.53,0.06
kexAB (s^-1),95,4
R1 (s^-1),4.64,0.18
R2 (s^-1),13.97,0.21
Red. Chi-sq,9.20
