Fit #1
G_C8_Off Pars,Fit Value,Error
pB (%),0.400,0.400
dwB (ppm),1.09,0.12
kexAB (s^-1),3480,592
R1 (s^-1),2.55,0.04
R2 (s^-1),20.16,0.12
Red. Chi-sq,0.35
