Fit #1
G_C1p_Off Pars,Fit Value,Error
pB (%),0.400,0.400
dwB (ppm),1.20,0.11
kexAB (s^-1),3480,592
R1 (s^-1),2.27,0.04
R2 (s^-1),13.93,0.11
Red. Chi-sq,0.35
