Fit #1
A6RNAm6A_C2_37 Pars,Fit Value,Error
pB (%),1.300,1.300
dwB (ppm),1.84,0.08
kexAB (s^-1),90,6
R1 (s^-1),4.55,0.03
R2 (s^-1),21.03,0.03
Red. Chi-sq,0.37
