Fit #1
ra16_c8_15c Pars,Fit Value,Error
pB (%),2.000,2.000
dwB (ppm),2.72,0.05
kexAB (s^-1),43,7
R1 (s^-1),1.73,0.08
R2 (s^-1),35.39,0.10
Red. Chi-sq,1.65
