Fit #1
ac1p Pars,Fit Value,Error
pB (%),0.450,0.450
dwB (ppm),3.93,0.13
kexAB (s^-1),711,36
R1 (s^-1),1.37,0.10
R2 (s^-1),21.88,0.14
Red. Chi-sq,0.55
