Fit #1
ac8 Pars,Fit Value,Error
pB (%),0.450,0.450
dwB (ppm),3.92,0.20
kexAB (s^-1),711,36
R1 (s^-1),1.57,0.14
R2 (s^-1),31.38,0.18
Red. Chi-sq,0.55
