Fit #1
A21_C1p_Off Pars,Fit Value,Error
pB (%),0.369,0.026
dwB (ppm),2.92,0.16
kexAB (s^-1),2813,218
R1 (s^-1),1.97,0.05
R2 (s^-1),14.52,0.18
Red. Chi-sq,0.14
