Fit #1
ac8 Pars,Fit Value,Error
pB (%),2.658,0.032
dwB (ppm),2.58,0.03
kexAB (s^-1),1844,44
R1 (s^-1),0.90,0.23
R2 (s^-1),30.84,0.34
Red. Chi-sq,0.26
