Fit #1
ac1p Pars,Fit Value,Error
pB (%),2.658,0.032
dwB (ppm),3.26,0.03
kexAB (s^-1),1844,44
R1 (s^-1),0.75,0.19
R2 (s^-1),19.52,0.31
Red. Chi-sq,0.26
