Fit #1
G_C8_Off Pars,Fit Value,Error
pB (%),1.000,1.000
dwB (ppm),4.27,4.27
kexAB (s^-1),42,5
R1 (s^-1),2.35,0.05
R2 (s^-1),20.86,0.07
Red. Chi-sq,0.26
