Fit #1
c15_c6 Pars,Fit Value,Error
pB (%),0.900,0.900
dwB (ppm),1.89,0.15
kexAB (s^-1),278,41
R1 (s^-1),1.82,0.09
R2 (s^-1),33.18,0.21
Red. Chi-sq,1.13
