Fit #1
gc8 Pars,Fit Value,Error
pB (%),0.500,0.500
dwB (ppm),3.55,0.07
kexAB (s^-1),2049,123
R1 (s^-1),2.02,0.10
R2 (s^-1),21.04,0.20
Red. Chi-sq,0.43
