Fit #1
gc1p Pars,Fit Value,Error
pB (%),0.800,0.800
dwB (ppm),3.60,0.07
kexAB (s^-1),399,8
R1 (s^-1),1.16,0.06
R2 (s^-1),18.42,0.07
Red. Chi-sq,0.16
