Fit #1
gc8 Pars,Fit Value,Error
pB (%),0.800,0.800
dwB (ppm),3.08,0.04
kexAB (s^-1),399,8
R1 (s^-1),1.27,0.05
R2 (s^-1),27.71,0.08
Red. Chi-sq,0.16
