Date : 9/13/2019	Time : 18:34:50	
C:\UVWINLAB\DNA141U1.SP	
24.00	0.6311
24.20	0.6312
24.40	0.6311
24.60	0.6313
24.80	0.6310
25.00	0.6310
25.20	0.6312
25.40	0.6312
25.60	0.6312
25.80	0.6312
26.00	0.6312
26.20	0.6312
26.40	0.6313
26.60	0.6313
26.80	0.6312
27.00	0.6312
27.20	0.6313
27.40	0.6315
27.60	0.6314
27.80	0.6314
28.00	0.6313
28.20	0.6312
28.40	0.6311
28.60	0.6313
28.80	0.6314
29.00	0.6314
29.20	0.6313
29.40	0.6313
29.60	0.6315
29.80	0.6314
30.00	0.6314
30.20	0.6316
30.40	0.6314
30.60	0.6315
30.80	0.6317
31.00	0.6317
31.20	0.6318
31.40	0.6316
31.60	0.6318
31.80	0.6317
32.00	0.6319
32.20	0.6316
32.50	0.6319
32.70	0.6319
33.00	0.6319
33.20	0.6318
33.50	0.6318
33.70	0.6320
34.00	0.6320
34.20	0.6322
34.50	0.6322
34.70	0.6322
35.00	0.6323
35.20	0.6324
35.50	0.6324
35.70	0.6325
36.00	0.6325
36.20	0.6325
36.50	0.6325
36.70	0.6326
37.00	0.6325
37.20	0.6325
37.50	0.6328
37.70	0.6327
38.00	0.6329
38.20	0.6327
38.50	0.6329
38.70	0.6332
39.00	0.6331
39.20	0.6331
39.50	0.6332
39.70	0.6333
40.00	0.6335
40.20	0.6335
40.50	0.6336
40.70	0.6335
41.00	0.6338
41.20	0.6337
41.50	0.6341
41.70	0.6342
42.00	0.6342
42.20	0.6342
42.50	0.6342
42.70	0.6342
43.00	0.6344
43.20	0.6347
43.50	0.6347
43.70	0.6347
44.00	0.6351
44.20	0.6350
44.50	0.6354
44.70	0.6354
45.00	0.6355
45.20	0.6357
45.50	0.6359
45.70	0.6359
46.00	0.6362
46.20	0.6363
46.50	0.6367
46.70	0.6371
47.00	0.6372
47.20	0.6373
47.50	0.6379
47.70	0.6379
48.00	0.6386
48.20	0.6387
48.50	0.6389
48.70	0.6392
49.00	0.6395
49.20	0.6396
49.50	0.6399
49.70	0.6399
50.00	0.6404
50.20	0.6407
50.50	0.6409
50.70	0.6410
51.00	0.6414
51.20	0.6418
51.50	0.6422
51.70	0.6422
52.00	0.6429
52.20	0.6431
52.50	0.6437
52.70	0.6439
53.00	0.6445
53.20	0.6449
53.50	0.6454
53.70	0.6454
54.00	0.6464
54.20	0.6468
54.50	0.6476
54.70	0.6480
55.00	0.6486
55.20	0.6491
55.50	0.6500
55.70	0.6500
56.00	0.6516
56.20	0.6519
56.50	0.6526
56.70	0.6536
57.00	0.6543
57.20	0.6550
57.50	0.6561
57.70	0.6561
58.00	0.6577
58.20	0.6583
58.50	0.6592
58.70	0.6600
59.00	0.6612
59.20	0.6618
59.50	0.6634
59.70	0.6634
60.00	0.6655
60.20	0.6663
60.50	0.6679
60.70	0.6686
61.00	0.6701
61.20	0.6713
61.50	0.6728
61.70	0.6728
62.00	0.6754
62.20	0.6767
62.50	0.6780
62.70	0.6792
63.00	0.6812
63.20	0.6823
63.50	0.6836
63.70	0.6836
64.00	0.6864
64.20	0.6876
64.40	0.6884
64.70	0.6905
64.90	0.6913
65.20	0.6929
65.40	0.6942
65.70	0.6952
65.90	0.6965
66.20	0.6982
66.40	0.6993
66.70	0.7008
66.90	0.7019
67.20	0.7030
67.40	0.7038
67.70	0.7050
67.90	0.7060
68.20	0.7074
68.40	0.7079
68.70	0.7091
68.90	0.7097
69.20	0.7108
69.40	0.7116
69.70	0.7125
69.90	0.7129
70.20	0.7141
70.40	0.7144
70.70	0.7154
70.90	0.7160
71.20	0.7164
71.40	0.7170
71.70	0.7177
71.90	0.7180
72.20	0.7187
72.40	0.7190
72.70	0.7195
72.90	0.7195
73.20	0.7203
73.40	0.7208
73.70	0.7212
73.90	0.7215
74.20	0.7218
74.40	0.7221
74.70	0.7228
74.90	0.7228
75.20	0.7233
75.40	0.7234
75.70	0.7240
75.90	0.7242
76.20	0.7247
76.40	0.7248
76.70	0.7252
76.90	0.7252
77.20	0.7255
77.40	0.7258
77.70	0.7260
77.90	0.7262
78.20	0.7266
78.40	0.7266
78.70	0.7269
78.90	0.7269
79.20	0.7272
79.40	0.7275
79.70	0.7279
79.90	0.7279
80.20	0.7284
80.40	0.7285
80.70	0.7288
80.90	0.7288
81.20	0.7292
81.40	0.7294
81.70	0.7298
81.90	0.7299
82.20	0.7302
82.40	0.7303
82.70	0.7310
82.90	0.7310
83.20	0.7308
83.40	0.7311
83.70	0.7313
83.90	0.7312
84.20	0.7317
84.40	0.7315
84.70	0.7318
84.90	0.7318
85.20	0.7321
85.40	0.7321
85.70	0.7326
85.90	0.7329
86.20	0.7331
86.40	0.7331
86.70	0.7332
86.90	0.7332
87.20	0.7337
87.40	0.7337
87.70	0.7340
87.90	0.7343
88.20	0.7343
88.40	0.7345
88.70	0.7346
88.90	0.7346
89.20	0.7351
89.40	0.7354
89.70	0.7355
89.90	0.7357
90.20	0.7358
90.40	0.7358
90.70	0.7361
90.90	0.7361
91.20	0.7363
91.40	0.7365
91.70	0.7367
91.90	0.7371
92.20	0.7370
92.40	0.7372
92.70	0.7373
92.90	0.7373
93.20	0.7378
93.40	0.7379
93.70	0.7380
93.90	0.7380
94.20	0.7383
94.40	0.7384
94.70	0.7387
94.90	0.7387
95.20	0.7388
95.40	0.7388
95.70	0.7389
95.90	0.7391
96.20	0.7392
96.40	0.7389
96.70	0.7391
96.90	0.7391
