Fit #1
gc8 Pars,Fit Value,Error
pB (%),0.200,0.200
dwB (ppm),4.94,0.54
kexAB (s^-1),2884,956
R1 (s^-1),2.44,0.27
R2 (s^-1),22.29,0.65
Red. Chi-sq,2.73
