Fit #1
ra16_c8_10c Pars,Fit Value,Error
pB (%),2.000,2.000
dwB (ppm),2.97,0.02
kexAB (s^-1),50,3
R1 (s^-1),1.60,0.04
R2 (s^-1),43.42,0.06
Red. Chi-sq,0.58
