Fit #1
gc1p Pars,Fit Value,Error
pB (%),5.000,5.000
dwB (ppm),0.98,0.05
kexAB (s^-1),4630,394
R1 (s^-1),1.99,0.17
R2 (s^-1),19.09,0.58
Red. Chi-sq,0.77
