Fit #1
gc8 Pars,Fit Value,Error
pB (%),5.000,5.000
dwB (ppm),1.00,0.06
kexAB (s^-1),4630,394
R1 (s^-1),2.06,0.22
R2 (s^-1),26.71,0.71
Red. Chi-sq,0.77
