Fit #1
ac1p Pars,Fit Value,Error
pB (%),0.010,0.010
dwB (ppm),7.38,53.54
kexAB (s^-1),4492,96900
R1 (s^-1),5.51,1.21
R2 (s^-1),32.29,3.36
Red. Chi-sq,9.26
