Fit #1
ac8 Pars,Fit Value,Error
pB (%),0.010,0.010
dwB (ppm),7.13,65.49
kexAB (s^-1),4492,96900
R1 (s^-1),4.34,1.38
R2 (s^-1),37.78,3.69
Red. Chi-sq,9.26
