Fit #1
c15_c6 Pars,Fit Value,Error
pB (%),0.691,0.184
dwB (ppm),2.24,0.33
kexAB (s^-1),5411,670
R1 (s^-1),1.90,0.06
R2 (s^-1),29.68,0.42
Red. Chi-sq,0.43
